city_id,city_x,city_y,text_region_filename,distance_from_city,transcribed_text,confidence,notes
96,9917,5531,city0096_region2,43.2,,,
97,11592,4214,city0097_region0,2.2,,,
97,11592,4214,city0097_region1,44.8,,,
97,11592,4214,city0097_region2,134.5,,,
98,11401,4095,city0098_region0,14.4,,,
98,11401,4095,city0098_region1,17.9,,,
98,11401,4095,city0098_region2,53.5,,,
99,9325,2185,city0099_region0,18.8,,,
99,9325,2185,city0099_region1,19.8,,,
99,9325,2185,city0099_region2,51.5,,,
100,9949,3909,city0100_region0,45.4,,,
100,9949,3909,city0100_region1,70.1,,,
100,9949,3909,city0100_region2,70.4,,,
101,10127,4611,city0101_region0,10.3,,,
101,10127,4611,city0101_region1,51.6,,,
101,10127,4611,city0101_region2,98.9,,,
102,11633,2514,city0102_region0,31.3,,,
102,11633,2514,city0102_region1,42.7,,,
102,11633,2514,city0102_region2,55.2,,,
103,2849,2175,city0103_region0,16.1,,,
103,2849,2175,city0103_region1,48.5,,,
103,2849,2175,city0103_region2,70.2,,,
104,5635,2907,city0104_region0,12.5,,,
104,5635,2907,city0104_region1,26.4,,,
104,5635,2907,city0104_region2,77.2,,,
105,10472,2168,city0105_region0,36.5,,,
105,10472,2168,city0105_region1,73.2,,,
105,10472,2168,city0105_region2,74.2,,,
106,10300,4625,city0106_region0,9.2,,,
106,10300,4625,city0106_region1,86.1,,,
106,10300,4625,city0106_region2,105.4,,,
107,5304,3377,city0107_region0,8.5,,,
107,5304,3377,city0107_region1,46.0,,,
107,5304,3377,city0107_region2,51.0,,,
108,2600,2644,city0108_region0,41.1,,,
108,2600,2644,city0108_region1,75.2,,,
108,2600,2644,city0108_region2,79.6,,,
109,11446,2352,city0109_region0,12.5,,,
109,11446,2352,city0109_region1,35.4,,,
109,11446,2352,city0109_region2,38.2,,,
110,9643,3985,city0110_region0,12.4,,,
110,9643,3985,city0110_region1,40.0,,,
110,9643,3985,city0110_region2,46.0,,,
111,11213,2483,city0111_region0,11.2,,,
111,11213,2483,city0111_region1,32.4,,,
111,11213,2483,city0111_region2,44.4,,,
112,6359,4084,city0112_region0,20.2,,,
112,6359,4084,city0112_region1,43.4,,,
112,6359,4084,city0112_region2,51.6,,,
113,2747,2375,city0113_region0,11.0,,,
113,2747,2375,city0113_region1,47.4,,,
113,2747,2375,city0113_region2,52.6,,,
114,2722,4359,city0114_region0,26.4,,,
114,2722,4359,city0114_region1,53.8,,,
114,2722,4359,city0114_region2,72.8,,,
115,11457,3997,city0115_region0,23.2,,,
115,11457,3997,city0115_region1,35.9,,,
115,11457,3997,city0115_region2,57.1,,,
116,10012,4073,city0116_region0,15.7,,,
116,10012,4073,city0116_region1,39.3,,,
116,10012,4073,city0116_region2,44.3,,,
117,3272,3124,city0117_region0,10.8,,,
117,3272,3124,city0117_region1,10.8,,,
117,3272,3124,city0117_region2,56.3,,,
118,6873,4897,city0118_region0,5.1,,,
118,6873,4897,city0118_region1,27.8,,,
118,6873,4897,city0118_region2,39.1,,,
119,9852,2256,city0119_region0,14.4,,,
119,9852,2256,city0119_region1,43.3,,,
119,9852,2256,city0119_region2,49.6,,,
120,9016,4104,city0120_region0,0.0,,,
120,9016,4104,city0120_region1,33.5,,,
120,9016,4104,city0120_region2,35.5,,,
121,8091,4101,city0121_region0,0.0,,,
121,8091,4101,city0121_region1,12.0,,,
121,8091,4101,city0121_region2,61.6,,,
122,10774,4449,city0122_region0,9.8,,,
122,10774,4449,city0122_region1,10.3,,,
122,10774,4449,city0122_region2,70.2,,,
123,10395,4818,city0123_region0,40.2,,,
123,10395,4818,city0123_region1,55.9,,,
123,10395,4818,city0123_region2,68.0,,,
